"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка заполнения полной информации о клиенте валидными данными","858","Проверка заполнения полной информации о клиенте валидными данными","Sauce Demo SmokeTest","Thu Dec 12 16:56:12 GMT 2024","passed","Thu Dec 12 16:56:13 GMT 2024","tests.CheckoutClientInfoTest","Thread#1","tests.CheckoutClientInfoTest","checkFillClientInfoFieldsWithValidData"
"Проверка всех валидационных сообщений на странице входа в сервис","1","Проверка всех валидационных сообщений на странице входа в сервис","Sauce Demo SmokeTest","Thu Dec 12 16:56:03 GMT 2024","unknown","Thu Dec 12 16:56:03 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","testAllErrorMessages"
"Проверка расчета общей суммы за все товары в корзине","1116","Проверка расчета общей суммы за все товары в корзине","Sauce Demo SmokeTest","Thu Dec 12 16:56:52 GMT 2024","passed","Thu Dec 12 16:56:53 GMT 2024","tests.CheckoutCartOverviewTest","Thread#2","tests.CheckoutCartOverviewTest","checkTotalAmountForItems"
"Проверка входа в систему интернет магазина с позитивными credentials","655","Проверка логина с валидными данными1","Sauce Demo SmokeTest","Thu Dec 12 16:56:07 GMT 2024","passed","Thu Dec 12 16:56:08 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Description от Allure","1","Description. для тестРепортов","Sauce Demo SmokeTest","Thu Dec 12 16:56:03 GMT 2024","unknown","Thu Dec 12 16:56:03 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAdd1ItemInCart"
"Проверка логина с пустым именем","450","Проверка логина с пустым именем","Sauce Demo SmokeTest","Thu Dec 12 16:56:09 GMT 2024","passed","Thu Dec 12 16:56:09 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка логина с пустым паролем","439","Проверка логина с пустым паролем","Sauce Demo SmokeTest","Thu Dec 12 16:56:08 GMT 2024","passed","Thu Dec 12 16:56:08 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка добавления нескольких товаров в корзину","2864","Проверка добавления нескольких товаров в корзину","Sauce Demo SmokeTest","Thu Dec 12 16:56:39 GMT 2024","passed","Thu Dec 12 16:56:42 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddManyItemsInCart"
"Проверка удаления одного товара с корзины","799","Проверка удаления одного товара с корзины","Sauce Demo SmokeTest","Thu Dec 12 16:56:43 GMT 2024","passed","Thu Dec 12 16:56:44 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkDelete1ItemFromCart"
"Проверка наличия кнопки сортировки на странице с товарами","539","Проверка наличия кнопки сортировки на странице с товарами","Sauce Demo SmokeTest","Thu Dec 12 16:56:50 GMT 2024","passed","Thu Dec 12 16:56:51 GMT 2024","tests.ProductsTest","Thread#2","tests.ProductsTest","checkSortingButtonPresentsOnThePage"
"Проверка заполнения полной информации о клиенте невалидными данными","834","Проверка заполнения полной информации о клиенте невалидными данными","Sauce Demo SmokeTest","Thu Dec 12 16:56:10 GMT 2024","passed","Thu Dec 12 16:56:11 GMT 2024","tests.CheckoutClientInfoTest","Thread#1","tests.CheckoutClientInfoTest","checkFillClientInfoFieldsWithInvalidData"
"Проверка количества отображаемых товаров на главной странице","527","Проверка количества отображаемых товаров на главной странице","Sauce Demo SmokeTest","Thu Dec 12 16:56:48 GMT 2024","passed","Thu Dec 12 16:56:49 GMT 2024","tests.ProductsTest","Thread#2","tests.ProductsTest","checkAmountOfProducts"
"Проверка удаления нескольких товаров с корзины","1250","Проверка удаления нескольких товаров с корзины","Sauce Demo SmokeTest","Thu Dec 12 16:56:45 GMT 2024","passed","Thu Dec 12 16:56:47 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkDeleteManyItemsFromCart"
"Проверка логина с неверным паролем","441","Проверка логина с неверным паролем","Sauce Demo SmokeTest","Thu Dec 12 16:56:10 GMT 2024","passed","Thu Dec 12 16:56:10 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithErrorPassword"
